Tiempo;Trayectoria 1;Trayectoria 2;Trayectoria 3;Trayectoria 4;Trayectoria 5;Trayectoria 6;Trayectoria 7;Trayectoria 8;Trayectoria 9;Trayectoria 10;Semilla
0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;709626436
0,01;0,152118115670213;-0,08860949364566192;-0,21071621909757168;0,07511574882675628;-0,00824702479699873;0,0741989426679679;0,04389242553792191;-0,027837431102477224;-0,10230399205582759;-0,01003101327228818;709626436
0,02;0,20645891898375865;-0,20223198901004777;-0,1513642375980267;0,11747028097828785;0,025952673391956282;-0,04773394949771258;-0,018099905132533796;-0,14556875131383584;-0,07400823177605896;0,07165189108900784;709626436
0,03;0,3821026114906193;-0,14729239458379956;-0,1569079679201859;0,0005237980420755434;0,15877967268500107;0,1639979881928474;-0,14559317552702153;-0,2127166519730092;-0,20486717738836085;0,02095168665811331;709626436
0,04;0,4107008120084421;-0,18475304497863013;-0,09546652631686052;-0,13549366890299247;-0,04232334294931189;0,23832900152778574;-0,25461226980325713;-0,27484354558557833;-0,20921386124025151;0,144049729982277;709626436
0,05;0,39327603203802497;-0,145392274401269;-0,06101983581422852;-0,12790948569940344;-0,3892653366743018;0,03503419144522518;0,09336949019063939;-0,35346636126459624;-0,10239317723425524;0,12069590744282874;709626436
0,06;0,3466014849468635;-0,2243197763924754;0,0340607672024528;-0,27924878222045196;-0,3261914437509985;0,01786941041257752;0,11606758939095811;-0,36337428441896674;-0,006422314329943696;0,01505028576517739;709626436
0,07;0,36718678114776393;-0,20538931358277518;-0,03402322521629348;-0,013161775312943047;-0,4056414854376463;0,021475455473444746;0,2510468949087463;-0,35763899670889704;0,09057783293481622;-0,056419543261017086;709626436
0,08;0,25716291864198865;-0,18538755775294885;-0,0651948613832421;0,1339668462072857;-0,3116018897163666;-0,09967277876452571;0,27819120438387257;-0,4570717725143116;0,17875157189283067;0,0013006675965764741;709626436
0,09;0,40269514400314327;-0,1226695713569595;-0,027961261161920027;0,17335311029642075;-0,5231009971440176;-0,13713010726375646;0,46712402040997913;-0,5084782848138221;0,14748302576715078;-0,10228936727598595;709626436
0,1;0,362215014123801;-0,1193517050925463;-0,08900977590580822;0,042430460689229316;-0,621503869715941;-0,18176812707539813;0,5012174845630263;-0,5053176509087719;0,20124358295268419;-0,002723404698845272;709626436
0,11;0,2828718347681636;-0,14922874282848145;-0,1948350830385805;-0,01675094077219917;-0,5195423995963774;-0,15443106566150383;0,526764282555519;-0,47091252023888747;0,2297413670100402;0,033187961920348286;709626436
0,12;0,17609092030065715;0,10150475101023806;-0,13402793573440996;-0,06470997975831103;-0,506854803656152;-0,22282020431508687;0,5299657193298326;-0,5561786533840805;0,41909512447656827;0,2365325388591452;709626436
0,13;0,2800776597404136;0,07560878022605184;-0,0868328552738828;0,09777222884564668;-0,5184476514698138;-0,28259673060328494;0,629969590859726;-0,8149637375645404;0,5229303301395266;0,35669081171758316;709626436
0,14;0,37701132763416484;0,11461966262745628;-0,23563344219144283;0,16214892034996162;-0,4023259919075483;-0,31068690860720394;0,6116442987912758;-0,8348088629693939;0,3823522702659361;0,4156498650112449;709626436
0,15;0,15739688110196265;0,02123153391775405;-0,3014116201104004;0,011493766913950293;-0,3194197363888802;-0,1881599778863401;0,6341893704690036;-0,824493541796023;0,36050264927400755;0,3540579002642307;709626436
0,16;0,10462091959425573;0,038330042883613843;-0,10669576028026614;0,06717082031238045;-0,3046855762123717;-0,1888252256598077;0,528766297817443;-0,7408002920647929;0,534851337570758;0,32698128509590246;709626436
0,17;0,33565879152107686;0,05679155925865227;-0,13712235528272984;-0,11600848426804747;-0,16114587204174183;-0,13643205444170403;0,47595168682748856;-0,5967771774813064;0,5030694485318714;0,4072286642104086;709626436
0,18;0,2629552082580038;0,0487866867711449;-0,05794037011419696;-0,1459750176079379;-0,09078371611904568;-0,18653115581569163;0,48320248177636194;-0,5401196775207656;0,5075527208219701;0,4939193991227579;709626436
0,19;0,3173409721581405;0,02769408293000879;-0,13610791822312268;-0,24110328941470935;-0,07196385051444773;-0,10493851369148349;0,5971624218243783;-0,44402196846851694;0,4642302046771595;0,48598580843114797;709626436
